player_name,team,innings,overall_runs,balls,average,strike_rate,centuries,fifties,zeros
DA Warner,Australia,125,5455,5828,43.64,84.56130851,18,23,1
TM Head,Australia,39,1273,1442,32.64102564,84.58145592,1,10,1
SPD Smith,Australia,113,4378,5041,38.74336283,83.12338338,11,25,5
CA Lynn,Australia,4,75,92,18.75,65.29017857,0,0,1
MR Marsh,Australia,59,1672,1872,28.33898305,79.70091376,1,12,4
GJ Maxwell,Australia,106,3230,2645,30.47169811,109.7049823,2,22,9
MS Wade,Australia,83,1867,2335,22.4939759,78.83380704,1,11,5
JP Faulkner,Australia,52,1032,1024,19.84615385,90.27353112,1,4,4
PJ Cummins,Australia,43,285,391,6.627906977,65.88980878,0,0,8
MA Starc,Australia,49,428,502,8.734693878,86.09269506,0,1,8
B Stanlake,Australia,5,4,28,0.8,11.41025641,0,0,2
Azhar Ali,Pakistan,52,1806,2478,34.73076923,65.38826314,3,12,3
Sharjeel Khan,Pakistan,25,812,730,32.48,97.67424683,1,6,2
Mohammad Hafeez,Pakistan,187,6020,7680,32.19251337,65.68349436,11,34,14
Babar Azam,Pakistan,81,3985,4565,49.19753086,79.2697614,14,17,3
Umar Akmal,Pakistan,109,3134,3716,28.75229358,79.12732701,2,19,8
Mohammad Rizwan,Pakistan,37,864,1007,23.35135135,85.41822409,2,4,2
Imad Wasim,Pakistan,40,986,917,24.65,107.8996646,0,5,2
Mohammad Nawaz (3),Pakistan,13,203,229,15.61538462,84.47153839,0,1,0
Mohammad Amir,Pakistan,30,363,457,12.1,62.66323931,0,2,5
Wahab Riaz,Pakistan,66,740,872,11.21212121,82.30779367,0,3,12
Hasan Ali,Pakistan,33,353,292,10.6969697,108.3038986,0,2,3
UT Khawaja,Australia,39,1554,1887,39.84615385,75.26686973,2,12,2
JR Hazlewood,Australia,15,54,83,3.6,50.50915751,0,0,4
Asad Shafiq,Pakistan,57,1332,2007,23.36842105,54.93608544,0,9,5
Shoaib Malik,Pakistan,189,5565,6849,29.44444444,75.34379308,5,36,10
PSP Handscomb,Australia,20,632,656,31.6,80.73451457,1,4,2
Junaid Khan,Pakistan,23,68,134,2.956521739,49.7521832,0,0,7
AJ Finch,Australia,127,5084,5944,40.03149606,75.91888762,16,29,11
GJ Bailey,Australia,84,3034,3688,36.11904762,72.81107461,3,22,4
A Zampa,Australia,28,176,287,6.285714286,65.40123605,0,0,3
MJ Guptill,New Zealand,180,6762,7909,37.56666667,76.62352841,15,37,14
TWM Latham,New Zealand,94,2824,3464,30.04255319,69.79659029,5,16,7
KS Williamson,New Zealand,144,6174,7654,42.875,72.14679469,13,39,5
JDS Neesham,New Zealand,56,1320,1382,23.57142857,91.45921974,0,6,2
BJ Watling,New Zealand,24,573,860,23.875,52.70840349,0,5,2
C Munro,New Zealand,53,1271,1233,23.98113208,88.24774725,0,8,7
MJ Santner,New Zealand,57,927,1076,16.26315789,93.44945285,0,2,3
C de Grandhomme,New Zealand,33,722,667,21.87878788,99.11029853,0,4,2
MJ Henry,New Zealand,20,211,218,10.55,78.24415087,0,0,4
LH Ferguson,New Zealand,16,63,137,3.9375,45.96497253,0,0,4
TA Boult,New Zealand,38,159,218,4.184210526,85.61166173,0,0,4
TG Southee,New Zealand,82,654,694,7.975609756,94.87943064,0,1,11
HM Nicholls,New Zealand,50,1409,1748,28.18,76.06681551,1,11,5
Mohammad Shahzad,Afghanistan,62,1911,2230,30.82258065,77.43242244,4,10,3
Noor Ali Zadran,Afghanistan,35,734,1135,20.97142857,57.03709746,0,4,4
Javed Ahmadi,Afghanistan,35,812,1141,23.2,62.7133057,0,5,2
Rahmat Shah,Afghanistan,68,2390,3406,35.14705882,58.68713999,5,16,3
Asghar Stanikzai,Afghanistan,81,1876,2694,23.16049383,65.44480812,1,10,6
Najibullah Zadran,Afghanistan,61,1560,1797,25.57377049,82.2412269,1,11,4
Mohammad Nabi,Afghanistan,89,2094,2601,23.52808989,73.72930212,1,9,5
Mirwais Ashraf,Afghanistan,25,199,321,7.96,62.8968624,0,0,5
KJ Coetzer,Scotland,47,1909,2296,40.61702128,71.09756913,3,13,4
MH Cross,Scotland,47,1089,1527,23.17021277,62.70790107,2,5,1
CD Wallace,Scotland,23,476,521,20.69565217,95.31715251,0,4,1
PL Mommsen,Scotland,24,674,896,28.08333333,62.55101926,1,4,2
RD Berrington,Scotland,51,1406,1917,27.56862745,69.09912894,1,8,1
CD de Lange,Scotland,6,85,133,14.16666667,65.72699555,0,0,0
MA Leask,Scotland,27,499,456,18.48148148,99.50833845,0,4,2
SM Sharif,Scotland,25,251,342,10.04,78.05851031,0,0,3
RAJ Smith,Scotland,1,10,6,10,166.6666667,0,0,0
AC Evans,Scotland,14,98,145,7,57.07684508,0,0,1
BTJ Wheal,Scotland,5,14,18,2.8,25.45454545,0,0,4
CS MacLeod,Scotland,52,1591,2018,30.59615385,63.73601197,6,5,6
Nizakat Khan,Hong Kong,16,536,663,33.5,87.17893916,0,2,0
Aizaz Khan,Hong Kong,11,148,241,13.45454545,51.15333553,0,0,1
Babar Hayat,Hong Kong,16,570,790,35.625,63.18850441,0,5,2
Anshuman Rath,Hong Kong,13,458,632,35.23076923,66.34122579,0,4,1
Ehsan Khan,Hong Kong,12,102,233,8.5,40.74159718,0,0,2
Tanwir Afzal,Hong Kong,13,183,191,14.07692308,92.13008118,0,0,2
MRJ Watt,Scotland,17,159,229,9.352941176,76.71938181,0,0,0
C Carter,Hong Kong,8,111,176,13.875,57.12854126,0,0,0
Shahid Wasif,Hong Kong,7,81,169,11.57142857,36.25304961,0,0,1
Waqas Khan,Hong Kong,4,52,106,13,45.52005013,0,0,0
Nadeem Ahmed,Hong Kong,11,55,132,5,43.09337961,0,0,1
Tanveer Ahmed,Hong Kong,3,4,12,1.333333333,30.55555556,0,0,1
PJ Moor,Zimbabwe,42,769,1196,18.30952381,60.66597494,0,3,2
CJ Chibhabha,Zimbabwe,92,2077,3260,22.57608696,56.52204464,0,14,8
H Masakadza,Zimbabwe,168,4490,6366,26.72619048,59.18274077,3,27,11
CR Ervine,Zimbabwe,88,2525,3451,28.69318182,61.61087779,3,15,7
V Sibanda,Zimbabwe,93,2099,3372,22.56989247,51.74427106,1,14,9
Sikandar Raza,Zimbabwe,99,2920,3558,29.49494949,75.87815243,3,18,1
E Chigumbura,Zimbabwe,160,3384,4444,21.15,71.79458342,2,14,11
R Mutumbami,Zimbabwe,32,542,763,16.9375,70.27476987,0,2,4
AG Cremer,Zimbabwe,62,672,1146,10.83870968,55.35912237,0,1,5
TL Chatara,Zimbabwe,47,172,370,3.659574468,44.70549649,0,0,14
T Muzarabani,Zimbabwe,7,12,40,1.714285714,35.43956044,0,0,2
KL Rahul,India,37,1509,1723,40.78378378,81.8365997,5,9,2
KK Nair,India,2,46,89,23,45.76086957,0,0,0
AT Rayudu,India,50,1694,2192,33.88,67.67026311,3,10,3
MK Pandey,India,24,566,639,23.58333333,91.65870943,1,2,2
T Maruma,Zimbabwe,17,164,284,9.647058824,63.93351004,0,0,1
MN Waller,Zimbabwe,66,1144,1544,17.33333333,61.77679123,0,4,9
N Madziva,Zimbabwe,11,67,139,6.090909091,48.15298052,0,0,1
T Mupariwa,Zimbabwe,21,87,208,4.142857143,38.63224606,0,0,8
